Compound,ICSD#,Lattice,Pearson,Ncell,Eg,Efitg,me,mh,hPni/L,Pn1/L,Pn2/L,Pn3/L,hPpi/L,Pp1/L,Pp2/L,Pp3/L
Ag1B1C4N4,411179,cub,cP10,10,5.03,7.70,2.82,10.70,5.01,4.60,4.86,5.57,11.06,10.43,10.75,11.99
Ag1F1,18008,fcc,cF8,2,0.67,1.81,0.41,1.91,0.04,0.04,0.04,0.04,2.59,2.59,2.59,2.59
Ag1F2,20453,mcl,mP6,6,0.57,1.69,1.88,4.68,0.34,0.25,0.32,0.44,1.89,0.43,1.63,3.60
Ag1F2,6277,orc,oP12,12,0.50,1.59,1.82,6.00,0.54,0.38,0.47,0.77,4.28,0.09,4.76,7.98
Ag1I1,43435,cub,cP2,2,0.28,1.29,0.14,4.26,0.05,0.05,0.05,0.05,1.97,1.97,1.97,1.97
Ag1I1,53851,fcc,cF8,2,1.80,3.35,0.23,1.18,0.05,0.05,0.05,0.05,0.42,0.42,0.42,0.42
Ag1I1,56554,fcc,cF8,2,1.26,2.62,0.27,0.56,0.11,0.11,0.11,0.11,2.06,2.06,2.06,2.06
Ag1Nb1O3,55649,cub,cP5,5,1.74,3.26,1.45,3.19,2.09,2.09,2.09,2.09,1.82,1.82,1.82,1.82
Ag1Sb1Te2,703030,fcc,cF64,16,0.04,0.96,0.19,0.74,1.49,1.49,1.49,1.49,5.49,5.49,5.49,5.49
Ag1Sb1Te2,704040,fcc,cF64,16,0.05,0.98,0.18,0.57,1.59,1.59,1.59,1.59,5.37,5.37,5.37,5.37
Ag1Sb1Te2,705050,fcc,cF64,16,0.06,1.00,0.18,0.67,1.36,1.36,1.36,1.36,5.82,5.82,5.82,5.82
Ag1Sb1Te2,802020,fcc,cF64,16,0.06,1.00,0.19,0.73,0.94,0.94,0.94,0.94,5.33,5.33,5.33,5.33
Ag2O2,69095,mcl,mP8,8,0.20,1.19,0.94,1.83,1.80,1.04,2.17,2.19,2.94,2.47,3.10,3.25
Ag2Se1,15213,orc,oP12,12,0.16,1.12,0.30,0.60,0.14,0.10,0.12,0.21,5.33,4.73,5.07,6.18
Ag3As1O4,28836,cub,cP16,16,0.20,1.19,0.27,1.84,0.73,0.70,0.72,0.78,5.19,5.03,5.19,5.34
Ag3I1S1,201004,cub,cP5,5,0.88,2.10,0.20,0.65,0.23,0.23,0.23,0.23,2.04,1.96,1.97,2.20
Al12Ca8O24S2,67589,bcc,cI46,23,3.70,5.90,0.44,22.47,5.70,5.63,5.66,5.82,4.12,4.11,4.12,4.12
Al12Ca8O24Te2,86156,bcc,cI46,23,3.15,5.15,0.40,14.79,0.11,0.11,0.11,0.11,12.61,12.61,12.61,12.61
Al12Cd8O24S2,78368,bcc,cI46,23,2.79,4.68,0.39,6.80,5.66,5.66,5.66,5.66,14.73,14.73,14.73,14.73
Al12O24S2Sr8,67590,bcc,cI46,23,3.33,5.40,0.43,24.25,0.24,0.24,0.24,0.24,5.62,5.62,5.62,5.62
Al12O24Sr8Te2,82609,bcc,cI46,23,2.81,4.71,0.38,8.02,0.08,0.08,0.08,0.08,13.13,13.13,13.13,13.13
Al1As1F1Na1O4,30205,mclc(3),mS32,16,3.47,5.59,0.47,2.71,1.13,0.77,1.23,1.38,3.47,3.05,3.24,4.13
